rat_id,study_day,condition,treatment,trial_num,state,num_bouts,total_duration
2,2,OR,2,5.4,phasic,4,6.624
2,2,OR,2,5.4,tonic,7,160.376
4,4,HC,3,4,phasic,0,0.0
4,4,HC,3,4,tonic,3,46.0
3,4,OD,4,2,phasic,1,1.27
3,4,OD,4,2,tonic,2,91.73
9,16,OR-N,4,4,phasic,15,26.958
9,16,OR-N,4,4,tonic,20,487.042
4,2,HC,0,2,phasic,5,6.028
4,2,HC,0,2,tonic,7,135.972
4,4,OR-N,4,5.3,phasic,9,17.624
4,4,OR-N,4,5.3,tonic,15,306.376
6,3,HC,4,1,phasic,4,11.458
6,3,HC,4,1,tonic,5,179.542
4,4,OR-N,4,4,phasic,6,9.474
4,4,OR-N,4,4,tonic,7,206.528
4,1,OR,0,5.4,phasic,3,4.566
4,1,OR,0,5.4,tonic,7,222.434
3,3,OR,3,5.3,phasic,7,13.71
3,3,OR,3,5.3,tonic,10,282.29
6,3,CON,2,5.3,phasic,9,13.826
6,3,CON,2,5.3,tonic,13,421.174
9,2,CON,4,5.1,phasic,1,3.486
9,2,CON,4,5.1,tonic,3,101.514
5,6,HC,1,2,phasic,5,7.314
5,6,HC,1,2,tonic,9,275.686
9,2,CON,4,3,phasic,6,11.138
9,2,CON,4,3,tonic,12,399.862
9,4,CON,2,3,phasic,7,13.758
9,4,CON,2,3,tonic,10,293.242
3,3,OR,3,4,phasic,4,6.9
3,3,OR,3,4,tonic,6,120.1
4,5,OD,3,4,phasic,11,20.286
4,5,OD,3,4,tonic,26,569.714
8,1,HC,3,4,phasic,9,17.912
8,1,HC,3,4,tonic,17,551.088
1,1,OD,4,2,phasic,4,7.042
1,1,OD,4,2,tonic,6,140.958
9,4,CON,2,5.2,phasic,1,3.094
9,4,CON,2,5.2,tonic,4,159.906
13,3,OR,4,2,phasic,7,14.722
13,3,OR,4,2,tonic,10,352.278
1,2,OD,2,4,phasic,1,1.024
1,2,OD,2,4,tonic,2,25.976
9,10,OR,4,4,phasic,10,18.968
9,10,OR,4,4,tonic,13,320.032
2,2,OR,2,5.2,phasic,5,7.604
2,2,OR,2,5.2,tonic,8,177.396
3,3,OR,0,3,phasic,1,1.03
3,3,OR,0,3,tonic,3,43.97
11,2,OD,4,1,phasic,7,13.78
11,2,OD,4,1,tonic,11,327.22
9,3,OR,2,5.4,phasic,1,1.144
9,3,OR,2,5.4,tonic,3,102.856
3,6,OD,1,5.4,phasic,0,0.0
3,6,OD,1,5.4,tonic,1,9.0
8,6,OD,3,3,phasic,10,18.6
8,6,OD,3,3,tonic,15,410.4
4,1,CON,4,5.2,phasic,10,17.272
4,1,CON,4,5.2,tonic,13,313.728
2,1,OD,2,5.1,phasic,5,8.046
2,1,OD,2,5.1,tonic,7,162.954
3,3,HC,4,3,phasic,2,6.318
3,3,HC,4,3,tonic,3,209.682
3,1,OR,1,5.2,phasic,0,0.0
3,1,OR,1,5.2,tonic,3,182.0
6,6,HC,4,4,phasic,12,23.558
6,6,HC,4,4,tonic,20,614.442
3,8,HC,0,5.1,phasic,6,12.046
3,8,HC,0,5.1,tonic,9,221.954
3,6,HC,4,3,phasic,4,7.626
3,6,HC,4,3,tonic,5,138.374
3,5,OR-N,4,5.4,phasic,5,8.314
3,5,OR-N,4,5.4,tonic,6,218.686
6,2,OD,4,5.3,phasic,4,8.012
